Timestamp,Location,Day,Your initials,Gender,Year,Financial Aid,Sports,Sexual Orientation,Race,Concentration,Legacy,First gen,Domestic/Intl,Greek,21 or older,Q1 Paxson,Q2 Advisor,Q3 Cigs,Q4 Election,Q5 CAPS,Q6 Exercise,Q7 Coffee,Q8 Shamed,Q9 Food,Q10 Med/law advising,Q11 Selling,Q12 Cheating,Q13 Substance use in class
11/2/2015 23:20:46,JWW front,Day 1,MR,Female,Sophomore,None,No,Heterosexual,"White, Asian","Humanities/arts, Social sciences",No,No,Domestic,No,No,No opinion,1-2,Several times per month,Bernie Sanders,0,8-10,4-7,No,Somewhat dissatisfied,No opinion,Yes,I have cheated,I have never been intoxicated during class
11/2/2015 23:22:20,JWW front,Day 1,MR,Male,First-year,Grants and loans,No,Gay,White,Humanities/arts,No,No,Domestic,No,No,No opinion,1-2,Rarely,Bernie Sanders,2-4,0,8-14,No,Somewhat satisfied,I am not considering applying to law or medical school,No,I have been cheated on,I have never been intoxicated during class
11/2/2015 23:26:27,JWW front,Day 1,MR,Female,First-year,"Grants, covering some costs",No,Heterosexual,White,Physical sciences,No,No,Domestic,No,No,Somewhat approve,3-4,I do not smoke cigarettes or e-cigarettes,I am unsure,0,1-3,8-14,No,Somewhat satisfied,,No,I have never been in an exclusive relationship,I have never been intoxicated during class
11/2/2015 23:27:53,JWW front,Day 1,MR,Male,First-year,Grants and loans,No,Heterosexual,White,Physical sciences,No,No,Domestic,No,No,Somewhat approve,3-4,I do not smoke cigarettes or e-cigarettes,Bernie Sanders,0,4-7,15-21,No,Somewhat satisfied,No opinion,No,"I have been in at least one exclusive relationship, and I have neither cheated nor been cheated on",I have never been intoxicated during class
11/3/2015 21:18:31,SciLi,Day 2,JL,Male,Senior,Grants and loans,No,Heterosexual,White,Physical sciences,No,,Domestic,No,Yes,Somewhat approve,1-2,I do not smoke cigarettes or e-cigarettes,Hillary Clinton,1,1-3,8-14,No,Somewhat satisfied,Somewhat satisfied,No,"I have been in at least one exclusive relationship, and I have neither cheated nor been cheated on",I have been under the influence of marijuana during class
11/3/2015 21:20:21,SciLi,Day 2,JL,Male,Junior,Grants and loans,No,Heterosexual,White,Physical sciences,No,No,Domestic,Yes,No,Somewhat approve,0,Several times per month,Hillary Clinton,0,1-3,8-14,No,Somewhat dissatisfied,I am not considering applying to law or medical school,No,"I have been in at least one exclusive relationship, and I have neither cheated nor been cheated on",I have never been intoxicated during class
11/3/2015 21:22:13,SciLi,Day 2,JL,Male,First-year,Grants and loans,No,Heterosexual,Hispanic,Physical sciences,No,Yes,Domestic,No,No,No opinion,1-2,Rarely,Bernie Sanders,2-4,1-3,1-3,No,Somewhat satisfied,I am not considering applying to law or medical school,No,"I have been in at least one exclusive relationship, and I have neither cheated nor been cheated on",I have never been intoxicated during class
11/3/2015 21:23:50,SciLi,Day 2,JL,Female,Sophomore,None,No,Heterosexual,Asian,"Life sciences, Physical sciences, Social sciences",No,No,International,No,No,No opinion,3-4,Several times per week,Rand Paul,5-6,1-3,0,No,Very satisfied,I am not considering applying to law or medical school,No,I have never been in an exclusive relationship,I have been under the influence of marijuana during class
11/3/2015 23:50:10,SciLi,Day 2,JS,Female,Senior,Just loans,No,Heterosexual,White,Physical sciences,No,No,Domestic,No,Yes,No opinion,1-2,I do not smoke cigarettes or e-cigarettes,Hillary Clinton,0,1-3,1-3,No,Somewhat dissatisfied,Somewhat dissatisfied,No,I have never been in an exclusive relationship,I have never been intoxicated during class
11/3/2015 23:50:16,SciLi,Day 2,LG,Female,Junior,"Grants, covering all costs",No,Heterosexual,Hispanic,Physical sciences,No,Yes,Domestic,No,No,Somewhat disapprove,3-4,I do not smoke cigarettes or e-cigarettes,Hillary Clinton,0,11-13,4-7,No,Somewhat dissatisfied,Very dissatisfied,No,"I have been in at least one exclusive relationship, and I have neither cheated nor been cheated on",I have never been intoxicated during class
